,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,latitude,longitude,und_long,und_lat,underground_distance
0,VESPER,developer,https://www.cian.ru/sale/flat/306599723/,Москва,sale,flat,9,9,-1,31.2,55848000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,55.7756042,37.5878253,37.59583333333333,55.77,0.8011876409076365
1,hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679846/,Москва,sale,flat,7,20,1,27.87,14850725.0,Даниловский,,,Тульская,Форст ЖК,,,37.62277777777778,55.70861111111111,
2,Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/301910802/,Москва,sale,flat,3,27,1,27.6,15925200.0,Басманный, Фридриха Энгельса,56,Бауманская,Дом 56,55.7768497,37.6909098,37.68055555555556,55.77305555555556,0.7750232886654289
3,hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679583/,Москва,sale,flat,6,20,1,24.93,13984508.0,Даниловский,Автозаводская ,26,Тульская,FORST,55.706447,37.65209268108206,37.62277777777778,55.70861111111111,1.8585113353295055
4,ID 71425028,unknown,https://www.cian.ru/sale/flat/307589922/,Москва,sale,flat,2,8,1,36.0,8950000.0,Тимирязевский,Дмитровское шоссе,46К1,Петровско-Разумовская,,55.8439272,37.56992030415302,37.574444444444445,55.835,1.0335694316738937
5,ID 71425028,unknown,https://www.cian.ru/sale/flat/307589922/,Москва,sale,flat,2,8,1,36.0,8950000.0,Тимирязевский,Дмитровское шоссе,46К1,Петровско-Разумовская,,55.8439272,37.56992030415302,37.574444444444445,55.835,1.0335694316738937
6,MR Group,developer,https://www.cian.ru/sale/flat/307413632/,Москва,sale,flat,2,21,1,22.9,12521949.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК,,,37.63777777777778,55.730555555555554,
7,MR Group,developer,https://www.cian.ru/sale/flat/307413632/,Москва,sale,flat,2,21,1,22.9,12521949.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК,,,37.63777777777778,55.73166666666667,
8,ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/305916876/,Москва,sale,flat,4,4,-1,13.5,4255000.0,Марфино,Малая Ботаническая ,10А,Фонвизинская,,55.8330496,37.58881561070058,37.588055555555556,55.82277777777778,1.1446428034202791
9,hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679586/,Москва,sale,flat,7,20,1,27.73,14584621.0,Даниловский,Автозаводская ,26,Тульская,FORST,55.706447,37.65209268108206,37.62277777777778,55.70861111111111,1.8585113353295055
10,ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/303965382/,Москва,sale,flat,1,6,-1,16.8,3696000.0,Марфино,Гостиничный проезд,8К1,Окружная,,55.8459757,37.576102103160615,37.57388888888889,55.846111111111114,0.13945438063201163
11,Среда,developer,https://www.cian.ru/sale/flat/306383368/,Москва,sale,flat,3,13,1,23.5,11350029.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского,,,37.465,55.69722222222222,
12,GloraX,developer,https://www.cian.ru/sale/flat/303476993/,Москва,sale,flat,2,21,-1,35.5,21329999.0,Беговой, 1-я Ямского Поля,28С3,Белорусская,GloraX Premium Белорусская,55.7831259,37.58499325847857,37.58361111111111,55.776666666666664,0.7243673469565184
13,GloraX,developer,https://www.cian.ru/sale/flat/303476993/,Москва,sale,flat,2,21,-1,35.5,21329999.0,Беговой, 1-я Ямского Поля,28С3,Белорусская,GloraX Premium Белорусская,55.7831259,37.58499325847857,37.58444444444444,55.77638888888889,0.7508742021364131
14,Среда,developer,https://www.cian.ru/sale/flat/304774967/,Москва,sale,flat,4,44,1,23.03,11704997.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК,,,37.44583333333333,55.73083333333334,
15,Среда,developer,https://www.cian.ru/sale/flat/304774967/,Москва,sale,flat,4,44,1,23.03,11704997.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК,,,37.44583333333333,55.73083333333334,
16,Среда,developer,https://www.cian.ru/sale/flat/304774967/,Москва,sale,flat,4,44,1,23.03,11704997.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК,,,37.44611111111111,55.72888888888889,
17,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/306234673/,Москва,sale,flat,1,5,-1,12.0,2950000.0,Котловка,Нагорная ,22К2,Нагорная,,55.6795609,37.60112529441388,37.610277777777775,55.6725,0.9744577660353831
18,FORMA,developer,https://www.cian.ru/sale/flat/305605383/,Москва,sale,flat,5,33,1,27.36,20205360.0,Пресненский, Пресненский Вал,27С6,Белорусская,Republic,55.77153555,37.56889702354427,37.58361111111111,55.776666666666664,1.0858346987754925
19,FORMA,developer,https://www.cian.ru/sale/flat/305605383/,Москва,sale,flat,5,33,1,27.36,20205360.0,Пресненский, Пресненский Вал,27С6,Белорусская,Republic,55.77153555,37.56889702354427,37.58444444444444,55.77638888888889,1.1153387471450618
20,DOLGOV PRO,real_estate_agent,https://www.cian.ru/sale/flat/294355446/,Москва,sale,flat,10,14,1,28.7,18500000.0,Лефортово,проезд Шелихова,3,Площадь Ильича,Символ,55.7500081,37.69106368181819,37.6825,55.74722222222222,0.6208127459628949
21,ID 71425028,unknown,https://www.cian.ru/sale/flat/307676305/,Москва,sale,flat,2,8,-1,23.5,7550000.0,Тимирязевский,Дмитровское шоссе,46К1,Петровско-Разумовская,,55.8439272,37.56992030415302,37.574444444444445,55.835,1.0335694316738937
